Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
AHL,2025-12-22,555.0,557.0,545.1,550.2,-1.22 %,"12,467.00",-
AHL,2025-12-21,565.0,570.0,556.0,557.0,-2.62 %,"9,937.00",-
AHL,2025-12-18,583.0,583.0,571.3,572.0,-1.41 %,"9,929.00",-
AHL,2025-12-17,577.1,598.0,577.1,580.2,-1.16 %,"7,844.00",-
AHL,2025-12-16,595.0,595.0,580.0,587.0,-0.51 %,"14,683.00",-
AHL,2025-12-15,583.1,596.0,583.1,590.0,-0.82 %,"7,165.00",-
AHL,2025-12-14,610.0,610.0,590.0,594.9,-2.48 %,"13,147.00",-
AHL,2025-12-11,622.9,622.9,599.0,610.0,-0.96 %,"11,086.00",-
AHL,2025-12-10,624.9,625.0,590.1,615.9,-1.46 %,"13,762.00",-
AHL,2025-12-09,620.7,645.0,620.7,625.0,-1.28 %,"6,572.00",-
AHL,2025-12-08,628.3,652.0,612.09,633.1,2.78 %,"27,721.00",-
AHL,2025-12-07,612.0,630.3,600.0,616.0,2.67 %,"44,489.00",-
AHL,2025-12-03,595.0,602.9,590.2,600.0,0.00 %,"4,373.00",-
AHL,2025-12-02,595.0,602.0,595.0,600.0,0.00 %,"1,333.00",-
AHL,2025-12-01,592.0,602.0,591.5,600.0,-0.58 %,"1,702.00",-
AHL,2025-11-30,607.0,607.0,599.0,603.5,-0.58 %,"4,984.00",-
AHL,2025-11-27,600.1,612.0,600.0,607.0,-0.33 %,"4,824.00",-
AHL,2025-11-26,602.2,610.0,602.0,609.0,0.00 %,"4,449.00",-
AHL,2025-11-25,626.0,626.0,600.5,609.0,-0.93 %,"5,587.00",-
AHL,2025-11-24,593.0,628.0,582.0,614.7,1.62 %,"6,098.00",-
AHL,2025-11-23,600.0,610.0,596.7,604.9,0.32 %,"6,590.00",-
AHL,2025-11-20,609.9,614.0,595.0,603.0,0.00 %,"5,483.00",-
AHL,2025-11-19,619.0,619.0,593.5,603.0,-0.74 %,"3,264.00",-
AHL,2025-11-18,588.0,646.0,588.0,607.5,1.25 %,"9,378.00",-
AHL,2025-11-17,596.3,608.2,586.0,600.0,-1.36 %,"4,867.00",-
AHL,2025-11-16,597.0,620.0,586.0,608.3,-0.11 %,"2,616.00",-
AHL,2025-11-13,597.0,612.0,586.1,609.0,0.08 %,"13,989.00",-
AHL,2025-11-12,602.0,612.5,595.0,608.5,-0.85 %,"2,622.00",-
AHL,2025-11-11,616.0,616.0,604.0,613.7,-2.32 %,"2,720.00",-
AHL,2025-11-10,616.0,628.3,590.0,628.3,3.53 %,"14,454.00",-
AHL,2025-11-09,619.0,619.0,590.1,606.9,-0.64 %,"6,854.00",-
AHL,2025-11-06,610.0,612.0,598.0,610.8,1.63 %,"4,452.00",-
